                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1447,                 2.9657,                 1.5107,                0.00636,                0.97682,                0.37739,                0.25581,                0.94839,                 2.7782,                 1.3705,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.0903,                 2.1108,                 1.4278,                0.97886,                0.03368,                0.52041,                0.34004,                0.98636,                 2.5166,                 1.4242,             0.00041031,             0.00041031,             0.00041031
                      3,                 1.0972,                 1.6972,                 1.4011,                0.67063,                0.48796,                0.56234,                0.31373,                 1.4064,                 2.1835,                 1.9719,             0.00061631,             0.00061631,             0.00061631
                      4,                 1.0552,                 1.5094,                 1.3456,                0.60815,                 0.5728,                0.61646,                0.36196,                 1.4932,                 2.0022,                 2.0811,             0.00081807,             0.00081807,             0.00081807
                      5,                 1.0934,                 1.4537,                 1.3484,                0.39763,                0.31414,                0.28237,                0.14685,                 1.6817,                 2.6884,                 2.3344,              0.0010156,              0.0010156,              0.0010156
                      6,                  1.099,                 1.4391,                 1.3891,                0.63734,                 0.6385,                 0.6632,                0.42087,                 1.2484,                 1.6509,                 1.6756,              0.0012089,              0.0012089,              0.0012089
                      7,                 1.0731,                 1.3506,                 1.3405,                0.65396,                0.67659,                 0.7074,                0.44853,                 1.2487,                 1.6445,                 1.6115,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0648,                 1.3027,                 1.3391,                0.71349,                0.68737,                0.73921,                0.48203,                 1.2273,                 1.5317,                 1.6241,                0.00133,                0.00133,                0.00133
                      9,                 1.0416,                 1.2794,                 1.3388,                0.63691,                0.64924,                0.68748,                0.45157,                 1.2303,                 1.5618,                    1.6,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0363,                 1.2925,                  1.347,                0.71769,                0.59666,                0.69432,                 0.4385,                  1.321,                 1.8277,                 1.7454,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0566,                 1.2336,                 1.3353,                0.80305,                0.77393,                0.84016,                0.59036,                  1.058,                 1.2167,                 1.4701,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0307,                 1.1891,                 1.3312,                0.73464,                0.76732,                0.82394,                0.57794,                0.99623,                 1.2626,                  1.377,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0038,                  1.184,                 1.3157,                0.81029,                 0.7889,                   0.88,                 0.6235,                0.98938,                 1.1384,                 1.4055,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0253,                 1.0887,                 1.3088,                0.69858,                0.73912,                0.75483,                0.51257,                 1.0386,                 1.7627,                 1.4481,              0.0012451,              0.0012451,              0.0012451
                     15,                0.97961,                 1.0797,                 1.3034,                0.78164,                0.76976,                0.85149,                0.61299,                0.98517,                  1.157,                 1.3666,              0.0012309,              0.0012309,              0.0012309
                     16,                0.98365,                 1.0828,                 1.2809,                0.77372,                0.76143,                0.83334,                0.54406,                 1.1015,                 1.4526,                 1.4842,              0.0012168,              0.0012168,              0.0012168
                     17,                0.98063,                  1.028,                 1.2832,                 0.8236,                0.84014,                0.90477,                0.65243,                0.93138,                 1.0417,                  1.332,              0.0012026,              0.0012026,              0.0012026
                     18,                0.93963,                 1.0337,                 1.2658,                0.85779,                0.87137,                0.92885,                0.66625,                0.91381,                0.85991,                 1.3146,              0.0011885,              0.0011885,              0.0011885
                     19,                0.96461,                 1.0494,                 1.2693,                0.87429,                0.83025,                0.94571,                0.68088,                0.96635,                 0.9834,                   1.33,              0.0011744,              0.0011744,              0.0011744
                     20,                0.94804,                0.96071,                 1.2443,                 0.7971,                0.87957,                0.92275,                0.67959,                0.91863,                0.92328,                 1.3299,              0.0011602,              0.0011602,              0.0011602
                     21,                0.90204,                0.90915,                 1.2171,                0.81645,                0.83555,                0.90102,                0.66202,                0.96736,                0.90266,                 1.3521,              0.0011461,              0.0011461,              0.0011461
                     22,                0.93681,                0.98333,                 1.2563,                0.80498,                0.81377,                0.90278,                0.66276,                0.95531,                0.96196,                 1.3137,              0.0011319,              0.0011319,              0.0011319
                     23,                0.96119,                0.96873,                 1.2724,                0.86729,                0.84577,                0.91523,                 0.6673,                0.89017,                0.93355,                 1.2569,              0.0011178,              0.0011178,              0.0011178
                     24,                0.91082,                0.91296,                 1.2376,                0.82632,                0.80477,                0.93303,                0.70502,                0.86712,                0.97447,                 1.2362,              0.0011036,              0.0011036,              0.0011036
                     25,                0.95074,                0.94244,                 1.2701,                 0.8232,                0.79755,                0.93701,                0.71078,                0.85166,                 1.0074,                 1.2471,              0.0010895,              0.0010895,              0.0010895
                     26,                0.90722,                 0.8903,                 1.2241,                0.91337,                0.88498,                0.95414,                0.73102,                0.85288,                0.67298,                 1.2312,              0.0010753,              0.0010753,              0.0010753
                     27,                0.88532,                0.86628,                 1.2033,                0.83507,                0.87745,                0.95299,                 0.7397,                 0.8119,                0.72431,                 1.2168,              0.0010612,              0.0010612,              0.0010612
                     28,                 0.8738,                0.81876,                 1.2132,                0.91084,                0.89861,                0.95979,                0.74226,                0.79328,                0.70737,                 1.1811,               0.001047,               0.001047,               0.001047
                     29,                0.89104,                0.84502,                 1.2235,                0.92914,                  0.939,                0.97381,                0.75671,                0.80156,                0.65344,                  1.188,              0.0010329,              0.0010329,              0.0010329
                     30,                0.86549,                0.80053,                 1.2093,                0.91626,                0.93339,                0.96609,                 0.7543,                0.79393,                0.71206,                 1.1909,              0.0010187,              0.0010187,              0.0010187
                     31,                0.88401,                 0.8254,                 1.2278,                0.89899,                0.89537,                0.97251,                0.76357,                0.78064,                0.73755,                  1.167,              0.0010046,              0.0010046,              0.0010046
                     32,                0.85975,                0.81684,                 1.1869,                0.92842,                0.93631,                0.97092,                 0.7558,                0.79004,                0.65296,                 1.1888,             0.00099044,             0.00099044,             0.00099044
                     33,                0.87138,                0.80376,                 1.2034,                0.89759,                   0.93,                0.96783,                0.77355,                0.74394,                0.60823,                 1.1495,             0.00097629,             0.00097629,             0.00097629
                     34,                0.82536,                0.76086,                 1.1861,                0.87458,                0.93966,                0.96474,                0.76271,                0.75982,                0.58735,                 1.1582,             0.00096215,             0.00096215,             0.00096215
                     35,                0.83843,                0.75058,                 1.1656,                0.92319,                0.92492,                 0.9621,                0.77029,                0.72552,                0.60253,                 1.1252,               0.000948,               0.000948,               0.000948
                     36,                0.85793,                0.77028,                 1.1776,                0.94081,                0.94674,                0.97617,                0.77841,                0.75974,                 0.5658,                 1.1583,             0.00093385,             0.00093385,             0.00093385
