                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1705,                 3.0298,                 1.5376,                0.00658,                0.96128,                0.35419,                0.23229,                 0.9279,                 2.8586,                 1.3543,             0.00017148,             0.00017148,             0.00017148
                      2,                  1.112,                 2.1453,                 1.4054,                0.76085,                0.10804,                0.49612,                0.32664,                 1.0104,                 2.4211,                 1.4059,             0.00035371,             0.00035371,             0.00035371
                      3,                 1.0767,                 1.8177,                 1.4091,                0.68482,                 0.5619,                0.69322,                0.37088,                 1.3631,                 1.9384,                 1.7738,             0.00053227,             0.00053227,             0.00053227
                      4,                 1.1196,                 1.5649,                 1.3859,                0.64811,                0.56817,                0.63925,                0.40139,                  1.195,                 1.8489,                 1.5753,             0.00070714,             0.00070714,             0.00070714
                      5,                  1.102,                 1.4882,                 1.3671,                0.60709,                0.71239,                0.73593,                0.50922,                 1.0693,                  1.487,                 1.4672,             0.00087834,             0.00087834,             0.00087834
                      6,                 1.1217,                 1.5111,                  1.412,                0.68513,                0.71811,                0.75123,                0.45372,                 1.2412,                 1.5909,                 1.6392,              0.0010459,              0.0010459,              0.0010459
                      7,                 1.0693,                 1.3787,                 1.3659,                 0.7394,                0.73595,                0.80877,                0.54463,                 1.0447,                 1.4304,                 1.4285,              0.0012097,              0.0012097,              0.0012097
                      8,                 1.0547,                 1.3395,                 1.3276,                0.76444,                0.67834,                0.82666,                0.56384,                 1.0673,                 1.3998,                 1.4648,                0.00133,                0.00133,                0.00133
                      9,                 1.0342,                 1.3179,                 1.3128,                0.62259,                0.71916,                0.74644,                0.49088,                 1.1352,                 1.5594,                 1.5605,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0104,                 1.2387,                 1.2847,                0.78047,                0.69126,                0.79555,                0.56672,                 1.0597,                 1.3182,                 1.4395,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0464,                 1.2199,                 1.3303,                0.71656,                0.76108,                0.81396,                0.57079,                 1.0629,                 1.2565,                 1.4121,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0758,                 1.2128,                  1.344,                0.80688,                0.81618,                0.88106,                0.61653,                 1.0255,                 1.1332,                 1.3981,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0323,                 1.1878,                 1.2968,                0.52292,                0.61313,                0.60469,                0.36393,                  1.274,                  2.023,                 1.6842,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0408,                 1.1779,                 1.3368,                0.71358,                0.67744,                0.75497,                0.48615,                 1.2002,                 1.5845,                 1.5992,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0234,                  1.162,                 1.3082,                 0.7777,                0.77612,                0.83936,                0.56719,                 1.0783,                 1.3556,                 1.4445,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.0023,                 1.1182,                 1.2924,                0.83631,                0.83908,                0.89631,                0.62307,                 1.0183,                 1.1365,                 1.3782,              0.0012168,              0.0012168,              0.0012168
                     17,                0.95253,                 1.0446,                  1.268,                0.83536,                0.83263,                0.87547,                0.64805,                0.97394,                 1.0818,                  1.342,              0.0012026,              0.0012026,              0.0012026
                     18,                0.95656,                 1.0291,                 1.2774,                0.89417,                0.82161,                0.91633,                0.64584,                 1.0431,                 1.0246,                  1.393,              0.0011885,              0.0011885,              0.0011885
                     19,                0.97396,                 1.0087,                 1.2791,                0.81513,                0.84805,                0.91866,                0.65429,                0.98856,                 1.0655,                 1.3393,              0.0011744,              0.0011744,              0.0011744
                     20,                0.96059,                0.99549,                 1.2787,                0.88942,                0.85949,                0.92221,                0.67656,                0.92395,                0.96428,                 1.2976,              0.0011602,              0.0011602,              0.0011602
                     21,                0.95853,                0.99497,                 1.2653,                 0.8655,                0.89625,                0.93951,                 0.7024,                0.89032,                0.84858,                 1.2634,              0.0011461,              0.0011461,              0.0011461
                     22,                0.97268,                0.97996,                 1.2662,                0.89322,                0.85533,                0.93587,                0.67809,                0.95746,                0.91111,                 1.3066,              0.0011319,              0.0011319,              0.0011319
                     23,                0.96843,                0.98542,                 1.2751,                0.91223,                0.92305,                0.95267,                0.71615,                0.89176,                0.85501,                 1.2562,              0.0011178,              0.0011178,              0.0011178
                     24,                0.92141,                0.91102,                 1.2225,                0.90635,                0.91274,                0.95329,                0.68685,                0.94507,                0.80505,                 1.2815,              0.0011036,              0.0011036,              0.0011036
                     25,                0.93262,                0.93116,                 1.2398,                0.89263,                0.89922,                 0.9372,                0.69699,                0.88153,                0.79769,                 1.2343,              0.0010895,              0.0010895,              0.0010895
                     26,                0.97122,                0.95626,                  1.259,                0.87012,                0.91772,                0.94799,                0.70964,                0.87551,                0.77256,                 1.2262,              0.0010753,              0.0010753,              0.0010753
                     27,                0.91525,                0.89622,                 1.2269,                0.93404,                0.90052,                0.95711,                0.73336,                0.83732,                0.72082,                 1.1782,              0.0010612,              0.0010612,              0.0010612
                     28,                0.86811,                0.86045,                 1.1966,                0.93521,                0.92959,                0.95827,                0.71663,                0.86455,                0.71531,                 1.2042,               0.001047,               0.001047,               0.001047
                     29,                0.89383,                0.89464,                  1.214,                0.90237,                 0.9207,                0.95742,                0.72479,                0.85798,                0.72583,                 1.2102,              0.0010329,              0.0010329,              0.0010329
                     30,                0.86424,                0.85128,                 1.1983,                0.93159,                0.93206,                0.97099,                0.74903,                0.80522,                0.64871,                 1.1808,              0.0010187,              0.0010187,              0.0010187
                     31,                0.87604,                 0.8389,                 1.1862,                0.88928,                0.92677,                0.95558,                0.73173,                0.84025,                0.68564,                 1.2095,              0.0010046,              0.0010046,              0.0010046
                     32,                0.86961,                0.82083,                 1.1953,                0.92601,                0.92148,                0.95853,                0.73341,                  0.856,                0.65596,                 1.2084,             0.00099044,             0.00099044,             0.00099044
                     33,                0.83653,                0.82447,                 1.1812,                0.96257,                0.86244,                0.93427,                0.67697,                0.94075,                0.73651,                 1.2867,             0.00097629,             0.00097629,             0.00097629
                     34,                0.87448,                0.79375,                 1.1833,                0.91777,                0.81651,                0.93634,                0.69775,                0.90874,                0.83747,                 1.2431,             0.00096215,             0.00096215,             0.00096215
                     35,                0.90209,                0.79969,                 1.2102,                0.94141,                0.90032,                0.96875,                0.74719,                0.82867,                0.68736,                 1.1858,               0.000948,               0.000948,               0.000948
                     36,                0.86854,                0.80535,                 1.2061,                 0.9565,                0.89869,                0.96385,                0.75353,                0.78892,                0.63058,                 1.1551,             0.00093385,             0.00093385,             0.00093385
                     37,                0.85812,                0.79775,                 1.1805,                0.87853,                0.87694,                0.94864,                0.72379,                0.81568,                0.72439,                 1.1735,              0.0009197,              0.0009197,              0.0009197
                     38,                0.85608,                0.76648,                   1.17,                0.89724,                0.92935,                0.96097,                0.73785,                0.83134,                0.66488,                 1.1946,             0.00090556,             0.00090556,             0.00090556
                     39,                0.85684,                0.77511,                 1.1995,                0.93306,                 0.9231,                 0.9649,                0.75455,                0.78512,                0.61089,                 1.1625,             0.00089141,             0.00089141,             0.00089141
                     40,                0.83052,                0.73953,                 1.1537,                0.95762,                0.95404,                0.98242,                0.79764,                0.70679,                0.53191,                 1.1025,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81777,                0.74487,                 1.1679,                0.95972,                0.94837,                0.98457,                0.79787,                0.72331,                 0.5467,                 1.1136,             0.00086312,             0.00086312,             0.00086312
